innovation_bump,eff%,total eff%,total carbon,num rounds
0.0,0.7222032199174931,0.7222032199174931,5199.4059516984025,50.0
3e-06,0.7368239782070969,0.7368239782070969,5102.440779317517,50.0
6e-06,0.7576786825039926,0.7583790071327021,5013.154478131029,49.85333333333333
9e-06,0.7734962351395176,0.7886148041086966,4739.281970799845,46.74666666666667
1.2e-05,0.7797975813777405,0.8163768419548176,4351.3362720837285,41.94
1.5e-05,0.7812462056708743,0.8404149311150407,3926.3891928365492,36.8
1.8e-05,0.7838442132813328,0.8556307607020831,3659.929155050467,33.85
2.1000000000000002e-05,0.7848644516526851,0.8675164520419262,3429.2550663788807,31.386666666666667
2.4e-05,0.783632700568094,0.8822391871012032,3090.231236648824,27.66
2.7e-05,0.7853794227031805,0.8892576217130522,2956.656201035668,26.33
