prosecution,eff%,total eff%,total carbon,num rounds
0.0,0.7821455060710748,0.8378010938725827,3988.8118447161078,37.65
0.5,0.7823673412523555,0.8390692446585994,3966.4686994740864,37.4
1.0,0.7820684208271,0.8389236798597357,3967.9549588328236,37.36333333333334
1.5,0.7818963044732447,0.8387922376950712,3962.8796551219048,37.36666666666667
2.0,0.7822651461609248,0.8378014239533497,3988.4232080796137,37.63666666666666
2.5,0.7819256807483747,0.8384109415441677,3974.5751309945226,37.47666666666667
3.0,0.7814331397175566,0.8398553117012855,3936.5470361542702,36.99666666666667
3.5,0.7817029043429006,0.83904726441975,3958.408963581916,37.25666666666667
4.0,0.7826260764149635,0.8381307543549972,3989.8583155437295,37.69
4.5,0.7812979772553896,0.8397570980842666,3939.4755100900097,37.04
