prosectuion_c,eff%,total eff%,total carbon,num rounds
0.5,0.9616570817700099,0.9616570817700099,21480.16824210793,50.0
1.0,0.9110788309072559,0.9110788309072559,16031.605759290733,50.0
1.5,0.8526390907535569,0.8528320003403763,11700.751931566718,49.94
2.0,0.7956504272006725,0.8351230326495669,5333.092534795955,40.843333333333334
2.5,0.7861019942920507,0.8346090131778929,4315.98514301345,39.123333333333335
3.0,0.7818802135251636,0.839093349145505,3959.545558696574,37.31
3.5,0.7798772109653844,0.840515564775249,3816.804509162136,36.61666666666667
4.0,0.7807133416895654,0.8387697243715355,3810.1082210458635,37.18
4.5,0.779667848405976,0.8385743615832559,3763.781001418219,37.06666666666667
5.0,0.7790130748801503,0.8389397574643925,3725.6356770623715,36.82
