eff%,total eff%,total carbon,num rounds
0.7809403354618487,0.8410984506875774,3907.2927769732582,36.69
0.7828264991102435,0.8373136951852972,4005.778734662134,37.846666666666664
0.7807281584491444,0.8415637057338259,3896.288123766509,36.53666666666667
0.7829892753407177,0.8371186289434212,4014.544862080124,37.97
0.7811122985531385,0.8403772239109929,3922.6706691417526,36.89
0.7821190528062045,0.8386174775573779,3973.152134428798,37.38333333333333
0.7821814665750089,0.8379748615587285,3984.028592160333,37.596666666666664
0.7818343110995579,0.8387251916528781,3965.1789061069417,37.336666666666666
0.7835077592895802,0.8351365981525953,4058.4601939630656,38.45
0.7815864985258498,0.8384655177667536,3964.993204067881,37.39
